observation_date,consumption,income,family_size,interest_rate,Net_welth
1984-01-01,306.1,53337,2.98,0.91,23.5
1985-01-01,309.6,54334,3.00,0.91,23.6
1986-01-01,312.7,56291,3.08,0.91,23.5
1987-01-01,312.2,56964,3.26,0.91,23.7
1988-01-01,316.1,57433,3.32,0.91,23.2
1989-01-01,318.2,58425,3.14,0.91,23.5
1990-01-01,317.8,57677,3.07,0.91,23.8
1991-01-01,320.2,55992,3.05,0.91,23.8
1992-01-01,324.2,55559,3.03,0.83,24.0
1993-01-01,322.8,55263,2.83,0.91,24.4
1994-01-01,322.9,55905,2.84,0.91,24.2
1995-01-01,322.9,57655,2.62,0.91,24.2
1996-01-01,323.6,58494,2.64,0.91,24.1
1997-01-01,325.3,59697,2.35,0.91,24.6
1998-01-01,330.2,61891,2.26,0.91,25.2
1999-01-01,336.5,63423,2.17,0.91,25.4
2000-01-01,330.0,63292,2.15,0.91,25.7
2001-01-01,330.1,61889,2.13,0.91,26.1
2002-01-01,331.4,61190,2.17,0.91,26.4
2003-01-01,331.6,61113,2.31,0.91,26.7
2004-01-01,333.4,60901,2.21,0.91,26.9
2005-01-01,335.4,61553,2.22,0.91,27.4
2006-01-01,335.4,62033,2.31,0.91,27.9
2007-01-01,331.3,62865,2.41,1.16,28.0
2008-01-01,332.2,60624,2.31,1.16,28.3
2009-01-01,333.7,60200,2.27,1.16,28.5
2010-01-01,337.7,58627,2.32,1.16,28.4
2011-01-01,337.6,57732,2.42,1.16,28.3
2012-01-01,339.9,57623,2.22,1.16,28.2
2013-01-01,340.9,59640,2.10,1.16,28.4
2014-01-01,340.6,58725,2.19,1.16,28.0
2015-01-01,342.1,61748,2.22,1.16,28.3
2016-01-01,344.4,63683,1.85,1.16,28.4
2017-01-01,346.5,64557,1.81,1.16,28.3
2018-01-01,349.9,65127,2.39,1.16,28.6
2019-01-01,352.4,69560,2.24,1.16,28.6
2020-01-01,353.2,67521,2.10,1.16,27.9
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
